task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_weights,plot_path,status,image
small,dermamnist_224,swin_tiny,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,dermamnist_224,vit_t,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,convnext,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,resnet,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,swin_tiny,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organcmnist_224,vit_t,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_5.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_6.pt: pi=0.14285714, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organsmnist_224,convnext,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organsmnist_224,convnext,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organsmnist_224,convnext,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.33333333, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
small,organsmnist_224,convnext,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_1.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_2.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_3.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=<br>client_4.pt: pi=0.20000000, alpha_all=, alpha_morph=, A=, M=, H=, Q=, F=",,not_plotted,
